"","art","treatment","phase","Plant_height","SLA","LDMC","Thickness"
"150","Vaccinium_myrtillus","0","building",16,198.319327731092,469.428007889546,0.094
"151","Vaccinium_myrtillus","0","mature",6.6,214.485806541578,451.259516715693,0.0983
"152","Vaccinium_myrtillus","0","pioneer",7.66666666666667,118.194869259525,493.435061978703,0.156822222222222
"153","Vaccinium_myrtillus","50","building",13,212.013651915212,499.551326746754,0.139666666666667
"154","Vaccinium_myrtillus","50","mature",9.4,216.329143499575,467.006697131692,0.0810666666666667
"155","Vaccinium_myrtillus","50","pioneer",7.33333333333333,154.689775898123,495.569343454774,0.157958333333333
"156","Vaccinium_myrtillus","90","building",11.6,342.937224220523,378.445910142895,0.104333333333333
"157","Vaccinium_myrtillus","90","mature",8.8,204.814432524749,473.47269375374,0.0826
"158","Vaccinium_myrtillus","90","pioneer",5.78571428571429,103.331223696048,480.925557994545,0.148911111111111
"159","Vaccinium_uliginosum","0","building",17,147.844521642238,555.531435553035,0.1544
"160","Vaccinium_uliginosum","0","mature",13.6,154.649587144352,493.564757306558,0.147733333333333
"161","Vaccinium_uliginosum","0","pioneer",5,51.9566763460011,501.61454608126,0.240733333333333
"162","Vaccinium_uliginosum","50","building",9.8,194.438708582553,435.860632844435,0.161533333333333
"163","Vaccinium_uliginosum","50","mature",8.6,148.447929134649,579.735794390853,0.138133333333333
"164","Vaccinium_uliginosum","90","building",7.2,214.246441232737,480.551286896088,0.163966666666667
"165","Vaccinium_uliginosum","90","mature",13.6,162.715444815415,491.533316671068,0.152933333333333
"166","Vaccinium_vitis_idaea","0","building",9,80.2018545456011,493.421233419559,0.276242424242424
"167","Vaccinium_vitis_idaea","0","mature",6.9,76.9904639886328,447.68688374995,0.295966666666667
"168","Vaccinium_vitis_idaea","0","pioneer",5,43.526169258678,496.300149052457,0.324
"169","Vaccinium_vitis_idaea","50","building",10.6666666666667,72.2985577336936,510.138886899771,0.288466666666667
"170","Vaccinium_vitis_idaea","50","mature",7.8,79.862034891009,534.580600197167,0.244
"171","Vaccinium_vitis_idaea","50","pioneer",5.53333333333333,57.0846516446728,514.495267988685,0.332622222222222
"172","Vaccinium_vitis_idaea","90","building",9.78947368421053,82.277456284684,515.571137832062,0.277964912280702
"173","Vaccinium_vitis_idaea","90","mature",8.8,81.8562422820101,516.796810488948,0.247466666666667
"174","Vaccinium_vitis_idaea","90","pioneer",6.76923076923077,34.7327452104954,490.939941654189,0.328153846153846
